hgnc_id,symbol,ensembl_gene_id,class,name,uniprot_ids,entrez_id,kinase_com_name
HGNC:19338,CDK19,ENSG00000155111,Dark,cyclin dependent kinase 19,Q9BWU1,23097,CDK11
HGNC:21420,CDK20,ENSG00000156345,Dark,cyclin dependent kinase 20,Q8IZL9,23552,CCRK
HGNC:1781,CDKL1,ENSG00000100490,Dark,cyclin dependent kinase like 1,Q00532,8814,CDKL1
HGNC:1782,CDKL2,ENSG00000138769,Dark,cyclin dependent kinase like 2,Q92772,8999,CDKL2
HGNC:15483,CDKL3,ENSG00000006837,Dark,cyclin dependent kinase like 3,Q8IVW4,51265,CDKL3
HGNC:19287,CDKL4,ENSG00000205111,Dark,cyclin dependent kinase like 4,Q5MAI5,344387,CDKL4
HGNC:11411,CDKL5,ENSG00000008086,Dark,cyclin dependent kinase like 5,O76039,6792,CDKL5
HGNC:1925,CHEK1,ENSG00000149554,Light,checkpoint kinase 1,O14757,1111,CHK1
HGNC:16627,CHEK2,ENSG00000183765,Light,checkpoint kinase 2,O96017,11200,CHK2
HGNC:1974,CHUK,ENSG00000213341,Light,conserved helix-loop-helix ubiquitous kinase,O15111,1147,IKKa
HGNC:1985,CIT,ENSG00000122966,Light,citron rho-interacting serine/threonine kinase,O14578,11113,CRIK
HGNC:1991,CKB,ENSG00000166165,Light,creatine kinase B,P12277,1152,NA
HGNC:1994,CKM,ENSG00000104879,Light,"creatine kinase, M-type",P06732,1158,NA
HGNC:31736,CKMT1A,ENSG00000223572,Light,"creatine kinase, mitochondrial 1A",P12532,548596,NA
HGNC:1995,CKMT1B,ENSG00000237289,Light,"creatine kinase, mitochondrial 1B",P12532,1159,NA
HGNC:1996,CKMT2,ENSG00000131730,Light,"creatine kinase, mitochondrial 2",P17540,1160,NA
HGNC:2068,CLK1,ENSG00000013441,Light,CDC like kinase 1,P49759,1195,CLK1
HGNC:2069,CLK2,ENSG00000176444,Light,CDC like kinase 2,P49760,1196,CLK2
HGNC:2071,CLK3,ENSG00000179335,Dark,CDC like kinase 3,P49761,1198,CLK3
HGNC:13659,CLK4,ENSG00000113240,Dark,CDC like kinase 4,Q9HAZ1,57396,CLK4
HGNC:2205,COL4A3BP,ENSG00000113163,Light,collagen type IV alpha 3 binding protein,Q9Y5P4,10087,NA
HGNC:16812,COQ8A,ENSG00000163050,Dark,coenzyme Q8A,Q8NI60,56997,ADCK3
HGNC:19041,COQ8B,ENSG00000123815,Dark,coenzyme Q8B,Q96D53,79934,ADCK4
HGNC:2433,CSF1R,ENSG00000182578,Light,colony stimulating factor 1 receptor,P07333,1436,FMS
HGNC:2444,CSK,ENSG00000103653,Light,C-terminal Src kinase,P41240,1445,CSK
HGNC:2451,CSNK1A1,ENSG00000113712,Light,casein kinase 1 alpha 1,P48729,1452,CK1a
HGNC:20289,CSNK1A1L,ENSG00000180138,Dark,casein kinase 1 alpha 1 like,Q8N752,122011,CK1a2
HGNC:2452,CSNK1D,ENSG00000141551,Light,casein kinase 1 delta,P48730,1453,CK1d
HGNC:2453,CSNK1E,ENSG00000213923,Light,casein kinase 1 epsilon,P49674,1454,CK1e
HGNC:2454,CSNK1G1,ENSG00000169118,Dark,casein kinase 1 gamma 1,Q9HCP0,53944,CK1g1
HGNC:2455,CSNK1G2,ENSG00000133275,Dark,casein kinase 1 gamma 2,P78368,1455,CK1g2
HGNC:2456,CSNK1G3,ENSG00000151292,Dark,casein kinase 1 gamma 3,Q9Y6M4,1456,CK1g3
HGNC:2457,CSNK2A1,ENSG00000101266,Light,casein kinase 2 alpha 1,P68400,1457,CK2a1
HGNC:2459,CSNK2A2,ENSG00000070770,Dark,casein kinase 2 alpha 2,P19784,1459,CK2a2
HGNC:2458,CSNK2A3,ENSG00000254598,Dark,casein kinase 2 alpha 3,Q8NEV1,283106,NA
HGNC:2674,DAPK1,ENSG00000196730,Light,death associated protein kinase 1,P53355,1612,DAPK1
HGNC:2675,DAPK2,ENSG00000035664,Light,death associated protein kinase 2,Q9UIK4,23604,DAPK2
HGNC:2676,DAPK3,ENSG00000167657,Light,death associated protein kinase 3,O43293,1613,DAPK3
HGNC:2700,DCLK1,ENSG00000133083,Light,doublecortin like kinase 1,O15075,9201,DCLK1
HGNC:19002,DCLK2,ENSG00000170390,Light,doublecortin like kinase 2,Q8N568,166614,DCLK2
HGNC:19005,DCLK3,ENSG00000163673,Dark,doublecortin like kinase 3,Q9C098,85443,DCLK3
HGNC:2730,DDR1,ENSG00000204580,Light,discoidin domain receptor tyrosine kinase 1,Q08345,780,DDR1
HGNC:2731,DDR2,ENSG00000162733,Light,discoidin domain receptor tyrosine kinase 2,Q16832,4921,DDR2
HGNC:2849,DGKA,ENSG00000065357,Light,diacylglycerol kinase alpha,P23743,1606,NA
HGNC:2850,DGKB,ENSG00000136267,Light,diacylglycerol kinase beta,Q9Y6T7,1607,NA
HGNC:2851,DGKD,ENSG00000077044,Light,diacylglycerol kinase delta,Q16760,8527,NA
HGNC:2852,DGKE,ENSG00000153933,Light,diacylglycerol kinase epsilon,P52429,8526,NA
HGNC:2853,DGKG,ENSG00000058866,Light,diacylglycerol kinase gamma,P49619,1608,NA
HGNC:2854,DGKH,ENSG00000102780,Light,diacylglycerol kinase eta,Q86XP1,160851,NA
HGNC:2855,DGKI,ENSG00000157680,Light,diacylglycerol kinase iota,O75912,9162,NA
HGNC:32395,DGKK,ENSG00000274588,Light,diacylglycerol kinase kappa,Q5KSL6,139189,NA
HGNC:2856,DGKQ,ENSG00000145214,Light,diacylglycerol kinase theta,P52824,1609,NA
HGNC:2857,DGKZ,ENSG00000149091,Light,diacylglycerol kinase zeta,Q13574,8525,NA
HGNC:2933,DMPK,ENSG00000104936,Light,DM1 protein kinase,Q09013,1760,DMPK1
HGNC:29043,DSTYK,ENSG00000133059,Dark,dual serine/threonine and tyrosine protein kinase,Q6XUX3,25778,SgK496
HGNC:3091,DYRK1A,ENSG00000157540,Light,dual specificity tyrosine phosphorylation regulated kinase 1A,Q13627,1859,DYRK1A
HGNC:3092,DYRK1B,ENSG00000105204,Dark,dual specificity tyrosine phosphorylation regulated kinase 1B,Q9Y463,9149,DYRK1B
HGNC:3093,DYRK2,ENSG00000127334,Dark,dual specificity tyrosine phosphorylation regulated kinase 2,Q92630,8445,DYRK2
HGNC:3094,DYRK3,ENSG00000143479,Dark,dual specificity tyrosine phosphorylation regulated kinase 3,O43781,8444,DYRK3
HGNC:3095,DYRK4,ENSG00000010219,Dark,dual specificity tyrosine phosphorylation regulated kinase 4,Q9NR20,8798,DYRK4
HGNC:24615,EEF2K,ENSG00000103319,Dark,eukaryotic elongation factor 2 kinase,O00418,29904,eEF2K
HGNC:3236,EGFR,ENSG00000146648,Light,epidermal growth factor receptor,P00533,1956,EGFR
HGNC:24921,EIF2AK1,ENSG00000086232,Light,eukaryotic translation initiation factor 2 alpha kinase 1,Q9BQI3,27102,HRI
HGNC:9437,EIF2AK2,ENSG00000055332,Light,eukaryotic translation initiation factor 2 alpha kinase 2,P19525,5610,PKR
HGNC:3255,EIF2AK3,ENSG00000172071,Light,eukaryotic translation initiation factor 2 alpha kinase 3,Q9NZJ5,9451,PEK
HGNC:19687,EIF2AK4,ENSG00000128829,Light,eukaryotic translation initiation factor 2 alpha kinase 4,Q9P2K8,440275,GCN2
HGNC:3385,EPHA1,ENSG00000146904,Light,EPH receptor A1,P21709,2041,EphA1
HGNC:3386,EPHA2,ENSG00000142627,Light,EPH receptor A2,P29317,1969,EphA2
HGNC:3387,EPHA3,ENSG00000044524,Light,EPH receptor A3,P29320,2042,EphA3
HGNC:3388,EPHA4,ENSG00000116106,Light,EPH receptor A4,P54764,2043,EphA4
HGNC:3389,EPHA5,ENSG00000145242,Light,EPH receptor A5,P54756,2044,EphA5
HGNC:19296,EPHA6,ENSG00000080224,Light,EPH receptor A6,Q9UF33,285220,EphA6
HGNC:3390,EPHA7,ENSG00000135333,Light,EPH receptor A7,Q15375,2045,EphA7
HGNC:3391,EPHA8,ENSG00000070886,Light,EPH receptor A8,P29322,2046,EphA8
HGNC:19987,EPHA10,ENSG00000183317,Light,EPH receptor A10,Q5JZY3,284656,EphA10
HGNC:3392,EPHB1,ENSG00000154928,Light,EPH receptor B1,P54762,2047,EphB1
HGNC:3393,EPHB2,ENSG00000133216,Light,EPH receptor B2,P29323,2048,EphB2
HGNC:3394,EPHB3,ENSG00000182580,Light,EPH receptor B3,P54753,2049,EphB3
HGNC:3395,EPHB4,ENSG00000196411,Light,EPH receptor B4,P54760,2050,EphB4
HGNC:3396,EPHB6,ENSG00000106123,Light,EPH receptor B6,O15197,2051,EphB6
HGNC:3430,ERBB2,ENSG00000141736,Light,erb-b2 receptor tyrosine kinase 2,P04626,2064,ErbB2
HGNC:3431,ERBB3,ENSG00000065361,Light,erb-b2 receptor tyrosine kinase 3,P21860,2065,ErbB3
HGNC:3432,ERBB4,ENSG00000178568,Light,erb-b2 receptor tyrosine kinase 4,Q15303,2066,ErbB4
HGNC:3449,ERN1,ENSG00000178607,Light,endoplasmic reticulum to nucleus signaling 1,O75460,2081,IRE1
HGNC:16942,ERN2,ENSG00000134398,Dark,endoplasmic reticulum to nucleus signaling 2,Q76MJ5,10595,IRE2
HGNC:24676,FASTK,ENSG00000164896,Light,Fas activated serine/threonine kinase,Q14296,10922,FASTK
HGNC:26150,FASTKD1,ENSG00000138399,Light,FAST kinase domains 1,Q53R41,79675,NA
HGNC:29160,FASTKD2,ENSG00000118246,Light,FAST kinase domains 2,Q9NYY8,22868,NA
HGNC:28758,FASTKD3,ENSG00000124279,Light,FAST kinase domains 3,Q14CZ7,79072,NA
HGNC:25790,FASTKD5,ENSG00000215251,Light,FAST kinase domains 5,Q7L8L6,60493,NA
HGNC:3655,FER,ENSG00000151422,Light,FER tyrosine kinase,P16591,2241,FER
HGNC:3657,FES,ENSG00000182511,Light,"FES proto-oncogene, tyrosine kinase",P07332,2242,FES
HGNC:3688,FGFR1,ENSG00000077782,Light,fibroblast growth factor receptor 1,P11362,2260,FGFR1
HGNC:3689,FGFR2,ENSG00000066468,Light,fibroblast growth factor receptor 2,P21802,2263,FGFR2
HGNC:3690,FGFR3,ENSG00000068078,Light,fibroblast growth factor receptor 3,P22607,2261,FGFR3
HGNC:3691,FGFR4,ENSG00000160867,Light,fibroblast growth factor receptor 4,P22455,2264,FGFR4
HGNC:3697,FGR,ENSG00000000938,Light,"FGR proto-oncogene, Src family tyrosine kinase",P09769,2268,FGR
HGNC:3763,FLT1,ENSG00000102755,Light,fms related tyrosine kinase 1,P17948,2321,FLT1
HGNC:3765,FLT3,ENSG00000122025,Light,fms related tyrosine kinase 3,P36888,2322,FLT3
HGNC:3767,FLT4,ENSG00000037280,Light,fms related tyrosine kinase 4,P35916,2324,FLT4
HGNC:42952,FPGT-TNNI3K,ENSG00000259030,Light,FPGT-TNNI3K readthrough,,100526835,NA
HGNC:3955,FRK,ENSG00000111816,Light,fyn related Src family tyrosine kinase,P42685,2444,FRK
HGNC:4037,FYN,ENSG00000010810,Light,"FYN proto-oncogene, Src family tyrosine kinase",P06241,2534,FYN
HGNC:4113,GAK,ENSG00000178950,Light,cyclin G associated kinase,O14976,2580,GAK
HGNC:4195,GCK,ENSG00000106633,Light,glucokinase,P35557,2645,NA
HGNC:10013,GRK1,ENSG00000185974,Light,G protein-coupled receptor kinase 1,Q15835,6011,RHOK
HGNC:289,GRK2,ENSG00000173020,Light,G protein-coupled receptor kinase 2,P25098,156,BARK1
HGNC:290,GRK3,ENSG00000100077,Light,G protein-coupled receptor kinase 3,P35626,157,BARK2
HGNC:4543,GRK4,ENSG00000125388,Light,G protein-coupled receptor kinase 4,P32298,2868,GPRK4
HGNC:4544,GRK5,ENSG00000198873,Light,G protein-coupled receptor kinase 5,P34947,2869,GPRK5
HGNC:4545,GRK6,ENSG00000198055,Light,G protein-coupled receptor kinase 6,P43250,2870,GPRK6
HGNC:17031,GRK7,ENSG00000114124,Light,G protein-coupled receptor kinase 7,Q8WTQ7,131890,GPRK7
HGNC:4616,GSK3A,ENSG00000105723,Light,glycogen synthase kinase 3 alpha,P49840,2931,GSK3A
HGNC:4617,GSK3B,ENSG00000082701,Light,glycogen synthase kinase 3 beta,P49841,2932,GSK3B
HGNC:4652,GTF2F1,ENSG00000125651,Light,general transcription factor IIF subunit 1,P35269,2962,NA
HGNC:4688,GUCY2C,ENSG00000070019,Light,guanylate cyclase 2C,P25092,2984,HSER
HGNC:4689,GUCY2D,ENSG00000132518,Light,"guanylate cyclase 2D, retinal",Q02846,3000,CYGD
HGNC:4691,GUCY2F,ENSG00000101890,Light,"guanylate cyclase 2F, retinal",P51841,2986,CYGF
HGNC:19682,HASPIN,ENSG00000177602,Light,histone H3 associated protein kinase,Q8TF76,83903,Haspin
HGNC:4840,HCK,ENSG00000101336,Light,"HCK proto-oncogene, Src family tyrosine kinase",P08631,3055,HCK
HGNC:19006,HIPK1,ENSG00000163349,Dark,homeodomain interacting protein kinase 1,Q86Z02,204851,HIPK1
HGNC:14402,HIPK2,ENSG00000064393,Light,homeodomain interacting protein kinase 2,Q9H2X6,28996,HIPK2
HGNC:4915,HIPK3,ENSG00000110422,Dark,homeodomain interacting protein kinase 3,Q9H422,10114,HIPK3
HGNC:19007,HIPK4,ENSG00000160396,Dark,homeodomain interacting protein kinase 4,Q8NE63,147746,HIPK4
HGNC:4922,HK1,ENSG00000156515,Light,hexokinase 1,P19367,3098,NA
HGNC:4923,HK2,ENSG00000159399,Light,hexokinase 2,P52789,3099,NA
HGNC:4925,HK3,ENSG00000160883,Light,hexokinase 3,P52790,3101,NA
HGNC:23302,HKDC1,ENSG00000156510,Light,hexokinase domain containing 1,Q2TB90,80201,NA
HGNC:30171,HSPB8,ENSG00000152137,Light,heat shock protein family B (small) member 8,Q9UJY1,26353,H11
HGNC:13326,HUNK,ENSG00000142149,Light,hormonally up-regulated Neu-associated kinase,P57058,30811,HUNK
HGNC:21219,ICK,ENSG00000112144,Dark,intestinal cell kinase,Q9UPZ9,22858,ICK
HGNC:5465,IGF1R,ENSG00000140443,Light,insulin like growth factor 1 receptor,P08069,3480,IGF1R
HGNC:5960,IKBKB,ENSG00000104365,Light,inhibitor of nuclear factor kappa B kinase subunit beta,O14920,3551,IKKb
HGNC:14552,IKBKE,ENSG00000263528,Light,inhibitor of nuclear factor kappa B kinase subunit epsilon,Q14164,9641,IKKe
HGNC:6040,ILK,ENSG00000166333,Light,integrin linked kinase,Q13418,3611,ILK
HGNC:6091,INSR,ENSG00000171105,Light,insulin receptor,P06213,3643,INSR
HGNC:6093,INSRR,ENSG00000027644,Light,insulin receptor related receptor,P14616,3645,IRR
HGNC:6112,IRAK1,ENSG00000184216,Light,interleukin 1 receptor associated kinase 1,P51617,3654,IRAK1
HGNC:6113,IRAK2,ENSG00000134070,Light,interleukin 1 receptor associated kinase 2,O43187,3656,IRAK2
HGNC:17020,IRAK3,ENSG00000090376,Light,interleukin 1 receptor associated kinase 3,Q9Y616,11213,IRAK3
HGNC:17967,IRAK4,ENSG00000198001,Light,interleukin 1 receptor associated kinase 4,Q9NWZ3,51135,IRAK4
HGNC:6171,ITK,ENSG00000113263,Light,IL2 inducible T cell kinase,Q08881,3702,ITK
HGNC:6190,JAK1,ENSG00000162434,Light,Janus kinase 1,P23458,3716,JAK1
HGNC:6192,JAK2,ENSG00000096968,Light,Janus kinase 2,O60674,3717,JAK2
HGNC:6193,JAK3,ENSG00000105639,Light,Janus kinase 3,P52333,3718,JAK3
HGNC:4814,KALRN,ENSG00000160145,Light,kalirin RhoGEF kinase,O60229,8997,Trad
HGNC:6307,KDR,ENSG00000128052,Light,kinase insert domain receptor,P35968,3791,KDR
HGNC:6342,KIT,ENSG00000157404,Light,KIT proto-oncogene receptor tyrosine kinase,P10721,3815,KIT
HGNC:6465,KSR1,ENSG00000141068,Light,kinase suppressor of ras 1,Q8IVT5,8844,KSR1
HGNC:18610,KSR2,ENSG00000171435,Light,kinase suppressor of ras 2,Q6VAB6,283455,KSR2
HGNC:6514,LATS1,ENSG00000131023,Light,large tumor suppressor kinase 1,O95835,9113,LATS1
HGNC:6515,LATS2,ENSG00000150457,Light,large tumor suppressor kinase 2,Q9NRM7,26524,LATS2
HGNC:6524,LCK,ENSG00000182866,Light,"LCK proto-oncogene, Src family tyrosine kinase",P06239,3932,LCK
HGNC:6613,LIMK1,ENSG00000106683,Light,LIM domain kinase 1,P53667,3984,LIMK1
HGNC:6614,LIMK2,ENSG00000182541,Light,LIM domain kinase 2,P53671,3985,LIMK2
HGNC:17880,LMTK2,ENSG00000164715,Dark,lemur tyrosine kinase 2,Q8IWU2,22853,LMR2
HGNC:19295,LMTK3,ENSG00000142235,Dark,lemur tyrosine kinase 3,Q96Q04,114783,LMR3
HGNC:18608,LRRK1,ENSG00000154237,Dark,leucine rich repeat kinase 1,Q38SD2,79705,LRRK1
HGNC:18618,LRRK2,ENSG00000188906,Light,leucine rich repeat kinase 2,Q5S007,120892,LRRK2
HGNC:6721,LTK,ENSG00000062524,Dark,leukocyte receptor tyrosine kinase,P29376,4058,LTK
HGNC:6735,LYN,ENSG00000254087,Light,"LYN proto-oncogene, Src family tyrosine kinase",P07948,4067,LYN
HGNC:6816,MAK,ENSG00000111837,Light,male germ cell associated kinase,P20794,4117,MAK
HGNC:6840,MAP2K1,ENSG00000169032,Light,mitogen-activated protein kinase kinase 1,Q02750,5604,MAP2K1
HGNC:6842,MAP2K2,ENSG00000126934,Light,mitogen-activated protein kinase kinase 2,P36507,5605,MAP2K2
HGNC:6843,MAP2K3,ENSG00000034152,Light,mitogen-activated protein kinase kinase 3,P46734,5606,MAP2K3
HGNC:6844,MAP2K4,ENSG00000065559,Light,mitogen-activated protein kinase kinase 4,P45985,6416,MAP2K4
HGNC:6845,MAP2K5,ENSG00000137764,Light,mitogen-activated protein kinase kinase 5,Q13163,5607,MAP2K5
HGNC:6846,MAP2K6,ENSG00000108984,Light,mitogen-activated protein kinase kinase 6,P52564,5608,MAP2K6
